Initial Issues
Active Clearance Control (ACC) Actuator
Active Clearance Control (ACC) Actuator – LVDT
Active Clearance Control (ACC) Actuator – Main body
Active Clearance Control (ACC) Actuator – Servo Valve
Active Clearance Control (ACC) System
Active Clearance Control (ACC) Valve
AD 2015-10-04: HPC 3–8 Drum
AD 2016-18-10: HPT Hub
AD 2021-05-18: Diffuser Case
AD: HPT Powdered Metal
Air Cooled Air Cooler (ACAC)
Air Cooled Oil Cooler (ACOC)
Air Cooled Oil Cooler (ACOC) Air Modulating Valve (AMV)
Air Cooled Oil Cooler (ACOC) Thermocouple
Air Ducts/Tubes
Aircraft Issue
Airworthiness Directive (AD)
Angle Gearbox
Annulus Fillers
Anti-Ice Duct
Anti-Ice Valve
Anti-Icing System
Asymmetric Thrust
B Check Inspection
Borescope Ports/Plugs
Cabin Air Bleed Solenoid Valve
Cabin Bleed System
Cabin Odor
Carbon Seals
Combustion Chamber
Common Nozzle Assembly (CNA)
Continuous Flow Adapter
Data Entry Plug (DEP)
Deoiler Case and Cover
Diffuser and Combustor Module
Diffuser Case
Drain Mast and Tubes
Electrical Harness Connectors
Electrical Harnesses
Electronic Engine Control (EEC)
End of Lease / Lease Return
Engine Acceleration
Engine Combined Drains System
Engine Data Plate
Engine Dedicated Alternator (PMA) Rotor
Engine Dedicated Alternator (PMA) Stator
Engine Interface Unit (EIU)
Engine Pressure Indicating System
Engine Pressure Ratio (EPR) Indicating System
Engine Start Issue
Environmental Control System (ECS)
Exhaust Gas Temperature (EGT) Harness and Junction Box
Exhaust Gas Temperature (EGT) Indicating System
Exhaust Gas Temperature (EGT) Overlimit
Exhaust Gas Temperature (EGT) Thermocouple
External Gearbox Module
Fan Blades
Fan Case
Fan Case – Acoustic Liner
Fan Case – Attrition Liner
Fan Case – Ice Liner
Fan Cowl Doors
Fan Exit Guide Vane (FEGV)
Fan Frame
Fan Module
Fan Trim Balance
Fan Trim Balance Sensor
Findings Within Manual Limits
Fire Detection System
Flexible Fuel Lines
Flight Crew Error
Foreign Object Damage (FOD)
Front Bearing Compartment
Front Engine Mount
Fuel Cooled Oil Cooler (FCOC)
Fuel Differential Pressure Switch
Fuel Distribution Valve
Fuel Diverter and Return to Tank Valve (FDRV)
Fuel Filter Clogged
Fuel Filter Element
Fuel Flow Indicating System
Fuel Flow Transmitter
Fuel Heat Management System
Fuel Metering Unit (FMU)
Fuel Metering Unit (FMU) – FMV Servo Valve
Fuel Metering Unit (FMU) – Metering Valve
Fuel Metering Unit (FMU) – Overspeed Valve
Fuel Metering Unit (FMU) – Resolver
Fuel Metering Unit (FMU) – SOV Servo Valve
Fuel Metering Unit (FMU) – SOV Switch
Fuel Metering Unit (FMU) – TOS Servo Valve
Fuel Metering Unit (FMU) – TOS Switch
Fuel Nozzle
Fuel Pump
Fuel Pump – Drive Shaft
Fuel Pump – HP Bearings
Fuel Pump – HP Gears
Fuel Pump – LP Impeller
Fuel System
Fuel Temperature Sensor
Fuel Tubes
Ground Handling Error
Hardware/Bracket
High Oil Consumption (HOC)
HPC 3–8 Drum
HPC 9–12 Drum
HPC Bleed Solenoid Valves
HPC Bleed Valves
HPC Case
HPC Module
HPC Outlet Guide Vane (OGV)
HPC Rear Rotating Seal
HPC Rear Shaft
HPC Stage 10 Blade
HPC Stage 10 Bleed Solenoid Valve
HPC Stage 10 Bleed Valve
HPC Stage 10 Vane
HPC Stage 11 Blade
HPC Stage 11 Vane
HPC Stage 12 Blade
HPC Stage 3 Blade
HPC Stage 3 Vane
HPC Stage 4 Blade
HPC Stage 4 Vane
HPC Stage 5 Blade
HPC Stage 5 Vane
HPC Stage 6 Blade
HPC Stage 6 Vane
HPC Stage 7 Blade
HPC Stage 7 Vane
HPC Stage 7A Bleed Solenoid Valve
HPC Stage 7A Bleed Valve
HPC Stage 7B Bleed Solenoid Valve
HPC Stage 7B Bleed Valve
